tmdb_id,title,original_language,language_queried,release_date,popularity,vote_average,vote_count,director_gender,female_leads_top5,male_leads_top5,total_cast,female_in_full_cast,budget,revenue,runtime,genres,production_companies,bechdel_proxy_score,bechdel_proxy_pass,bechdel_proxy_partial,year,decade,genres_list,primary_genre,revenue_clean,budget_clean,has_boxoffice,roi,female_cast_ratio,female_lead_ratio,director_gender_label,language_label,revenue_m,revenue_inr_crore,budget_inr_crore
118051,Cocktail,hi,hi,2012-07-13,2.9702,6.119,126,2,2,3,9,4,5100000,18000000,146,"['Romance', 'Drama', 'Comedy']","['Raj Film Productions', 'Eros International', 'Illuminati Films Pvt Ltd', 'Prime Focus', 'Cocktale Films', 'T-Series']",2.0,False,True,2012,2010,"['Romance', 'Drama', 'Comedy']",Romance,18000000.0,5100000.0,True,2.5294117647058822,0.4444444444444444,0.4,Male,Hindi,,150.3,42.585
126400,Gangs of Wasseypur - Part 2,hi,hi,2012-08-08,2.9109,7.752,107,2,2,3,21,4,1670000,4900000,160,"['Crime', 'Thriller', 'Action']","['Viacom18 Studios', 'Anurag Kashyap Films', 'Jar Pictures', 'Tipping Point Films']",2.0,False,True,2012,2010,"['Crime', 'Thriller', 'Action']",Crime,4900000.0,1670000.0,True,1.934131736526946,0.1904761904761904,0.4,Male,Hindi,,40.915,13.9445
19625,Munna Bhai M.B.B.S.,hi,hi,2003-12-19,2.5349,7.187,356,2,1,4,21,6,0,0,156,"['Comedy', 'Drama']",['Vidhu Vinod Chopra Productions'],0.0,False,False,2003,2000,"['Comedy', 'Drama']",Comedy,,,False,,0.2857142857142857,0.2,Male,Hindi,,,
19666,Lagaan: Once Upon a Time in India,hi,hi,2001-06-15,2.6118,7.252,638,2,3,2,37,3,5200000,8100000,233,"['Adventure', 'Drama', 'History']","['Aamir Khan Productions', 'Jhamu Sughand Productions', 'Ashutosh Gowariker Productions']",2.0,False,True,2001,2000,"['Adventure', 'Drama', 'History']",Adventure,8100000.0,5200000.0,True,0.5576923076923077,0.081081081081081,0.6,Male,Hindi,,67.635,43.42
348892,Bajrangi Bhaijaan,hi,hi,2015-07-17,3.0197,7.798,545,2,2,3,18,4,13000000,150000000,159,"['Comedy', 'Drama', 'Adventure']","['Rockline Entertainments', 'Kabir Khan Films', 'Salman Khan Films']",2.0,False,True,2015,2015,"['Comedy', 'Drama', 'Adventure']",Comedy,150000000.0,13000000.0,True,10.538461538461538,0.2222222222222222,0.4,Male,Hindi,,969.06,108.55
338065,Dil Dhadakne Do,hi,hi,2015-06-04,2.358,6.867,158,1,3,2,43,8,13000000,22000000,170,"['Drama', 'Family', 'Romance']","['Excel Entertainment', 'Junglee Pictures', 'KanZaman Productions', 'LPT Film', 'Emme Film', 'Condominium Films', 'Jake Production', 'Sindbad Productions', 'Eros International']",3.0,True,True,2015,2015,"['Drama', 'Family', 'Romance']",Drama,22000000.0,13000000.0,True,0.6923076923076923,0.1860465116279069,0.6,Female,Hindi,,183.7,108.55
283589,Bang Bang!,hi,hi,2014-10-02,2.6384,6.204,252,2,1,4,12,2,0,0,153,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']","['Fox Star Studios', 'Benetone Films', 'Fox International Productions India', 'Milk & Honey Pictures']",0.0,False,False,2014,2010,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']",Action,,,False,,0.1666666666666666,0.2,Male,Hindi,,,
491625,Gully Boy,hi,hi,2019-02-14,2.19,7.4,211,1,1,4,17,8,5782853,28299498,156,"['Drama', 'Music']","['Excel Entertainment', 'Tiger Baby']",0.0,False,False,2019,2015,"['Drama', 'Music']",Drama,28299498.0,5782853.0,True,3.893691401112911,0.4705882352941176,0.2,Female,Hindi,,236.3008083,48.28682255
235984,Goliyon Ki Raasleela Ram-Leela,hi,hi,2013-11-14,2.6729,6.973,200,2,3,2,12,5,0,32000000,155,"['Drama', 'Romance']","['Eros International', 'Bhansali Productions']",2.0,False,True,2013,2010,"['Drama', 'Romance']",Drama,32000000.0,,True,,0.4166666666666667,0.6,Male,Hindi,,267.2,
960876,Dunki,hi,hi,2023-12-21,2.5885,6.315,108,2,1,3,136,4,14500000,15000000,159,"['Adventure', 'Comedy', 'Drama']","['Red Chillies Entertainment', 'Rajkumar Hirani Films', 'Jio Studios']",0.0,False,False,2023,2020,"['Adventure', 'Comedy', 'Drama']",Adventure,15000000.0,14500000.0,True,0.0344827586206896,0.0294117647058823,0.2,Male,Hindi,,125.25,121.075
